From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,AGE
TIME_DETAIL,SEX
AGE,TIME_DETAIL
