Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2000,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH,F,PER_100000_LIVE_BIRTHS,2019,437.0
2005,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH,F,PER_100000_LIVE_BIRTHS,2019,472.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH,F,PER_100000_LIVE_BIRTHS,2019,460.84
2010,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH,F,PER_100000_LIVE_BIRTHS,2019,206.0
2014,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH,F,PER_100000_LIVE_BIRTHS,2019,170.0
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH,F,PER_100000_LIVE_BIRTHS,2019,141.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH01,F,PER_100000_LIVE_BIRTHS,2008,263.5
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH02,F,PER_100000_LIVE_BIRTHS,2008,219.41
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH03,F,PER_100000_LIVE_BIRTHS,2008,451.02
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH04,F,PER_100000_LIVE_BIRTHS,2008,277.22
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH05,F,PER_100000_LIVE_BIRTHS,2008,460.78
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH06,F,PER_100000_LIVE_BIRTHS,2008,590.68
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH07,F,PER_100000_LIVE_BIRTHS,2008,823.4
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH08,F,PER_100000_LIVE_BIRTHS,2008,305.06
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH23,F,PER_100000_LIVE_BIRTHS,2008,1388.13
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH09,F,PER_100000_LIVE_BIRTHS,2008,1113.26
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH10,F,PER_100000_LIVE_BIRTHS,2008,491.03
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH11,F,PER_100000_LIVE_BIRTHS,2008,1498.75
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH22,F,PER_100000_LIVE_BIRTHS,2008,257.07
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH24,F,PER_100000_LIVE_BIRTHS,2008,630.63
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH12,F,PER_100000_LIVE_BIRTHS,2008,298.42
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH18,F,PER_100000_LIVE_BIRTHS,2008,806.45
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH13,F,PER_100000_LIVE_BIRTHS,2008,476.33
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH14,F,PER_100000_LIVE_BIRTHS,2008,613.66
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH15,F,PER_100000_LIVE_BIRTHS,2008,269.49
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH16,F,PER_100000_LIVE_BIRTHS,2008,1441.73
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH17,F,PER_100000_LIVE_BIRTHS,2008,366.0
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH19,F,PER_100000_LIVE_BIRTHS,2008,423.53
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH20,F,PER_100000_LIVE_BIRTHS,2008,558.84
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,SH_STA_MORT,KH21,F,PER_100000_LIVE_BIRTHS,2008,568.85
