Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoH,A,N,N_KH_030802_01,KH,F,Y15T19,PT,2020,11.5
2020,A,0,C,MoH,A,N,N_KH_030802_01,KH,F,Y15T19,PT,2020,8.0
