Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,The National Science and Technology Council (NSTC),A,N,GB_XPD_RSDV,KH,PT,2020,0.12
2017,A,0,C,The National Science and Technology Council (NSTC),A,N,GB_XPD_RSDV,KH,PT,2020,0.13
2018,A,0,C,The National Science and Technology Council (NSTC),A,N,GB_XPD_RSDV,KH,PT,2020,0.14
2019,A,0,C,The National Science and Technology Council (NSTC),A,N,GB_XPD_RSDV,KH,PT,2020,0.16
2020,A,0,C,The National Science and Technology Council (NSTC),A,N,GB_XPD_RSDV,KH,PT,2020,0.2
