Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,"MOWA, MOH",A,N,SH_FPL_INFM,KH,F,Y15T49,PT,2018,57.6
2018,A,0,C,"MOWA, MOH",A,N,SH_FPL_INFM,KH,F,Y15T49,PT,2018,77.0
