Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2014,A,0,C,MoSVY_National Fund for Veterans,A,N,N_KH_100401_01,KH,NUMBER,2020,47375
2016,A,0,C,MoSVY_National Fund for Veterans,A,N,N_KH_100401_01,KH,NUMBER,2020,52274
2017,A,0,C,MoSVY_National Fund for Veterans,A,N,N_KH_100401_01,KH,NUMBER,2020,54092
2018,A,0,C,MoSVY_National Fund for Veterans,A,N,N_KH_100401_01,KH,NUMBER,2020,55702
2019,A,0,C,MoSVY_National Fund for Veterans,A,N,N_KH_100401_01,KH,NUMBER,2020,57282
2020,A,0,C,MoSVY_National Fund for Veterans,A,N,N_KH_100401_01,KH,NUMBER,2020,58762
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH01,NUMBER,2014,1192
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH02,NUMBER,2014,2711
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH03,NUMBER,2014,4644
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH04,NUMBER,2014,1325
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH05,NUMBER,2014,1743
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH06,NUMBER,2014,1732
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH07,NUMBER,2014,1889
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH08,NUMBER,2014,3705
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH23,NUMBER,2014,242
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH09,NUMBER,2014,230
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH10,NUMBER,2014,1052
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH11,NUMBER,2014,315
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH22,NUMBER,2014,190
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH24,NUMBER,2014,146
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH12,NUMBER,2014,14628
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH18,NUMBER,2014,606
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH13,NUMBER,2014,385
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH14,NUMBER,2014,3232
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH15,NUMBER,2014,1228
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH16,NUMBER,2014,125
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH17,NUMBER,2014,1562
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH19,NUMBER,2014,372
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH20,NUMBER,2014,1664
2014,A,0,C,MoSVY_National Fund for Veterans_2015,A,N,N_KH_100401_01,KH21,NUMBER,2014,2457
