Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,"MoEYS, MRD",A,N,SE_ACS_H2O,KH,PT,2020,27.0
2016,A,0,C,"MoEYS, MRD",A,N,SE_ACS_H2O,KH,PT,2020,47.9
2017,A,0,C,"MoEYS, MRD",A,N,SE_ACS_H2O,KH,PT,2020,48.2
2018,A,0,C,"MoEYS, MRD",A,N,SE_ACS_H2O,KH,PT,2020,46.7
2019,A,0,C,"MoEYS, MRD",A,N,SE_ACS_H2O,KH,PT,2020,51.1
2020,A,0,C,"MoEYS, MRD",A,N,SE_ACS_H2O,KH,PT,2020,55.6
