Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
1998,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,58.3
2000,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,54.4
2001,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,55.1
2002,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,55.8
2003,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,56.5
2004,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,57.2
2005,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,57.9
2006,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,58.6
2007,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,59.3
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,64.3
2009,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,65.2
2010,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,66.1
2011,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,67.0
2012,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,67.9
2013,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,68.8
2014,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,69.6
2015,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,70.4
2016,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,71.2
2017,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,72.0
2018,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,72.7
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,F,,Y,2019,76.8
1998,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,54.4
2000,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,60.6
2001,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,61.3
2002,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,62.0
2003,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,62.7
2004,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,63.4
2005,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,64.1
2006,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,64.9
2007,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,65.6
2008,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,60.5
2009,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,61.4
2010,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,62.3
2011,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,63.1
2012,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,64.0
2013,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,64.8
2014,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,65.6
2015,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,66.4
2016,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,67.1
2017,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,67.9
2018,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,68.6
2019,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,M,,Y,2019,74.3
1998,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,56.3
2000,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,57.5
2001,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,58.2
2002,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,58.9
2003,A,0,C,"MoP, NIS_General Population Census of Cambodia",A,N,N_KH_030101_01,KH,,,Y,2019,59.6
