Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2014,A,0,C,MoP_Cambodia Socio Economic Survey,A,N,SI_POV_NMPI,KH,Y0T17,PT,2020,50.7
2020,A,0,C,MoP_Cambodia Socio Economic Survey,A,N,SI_POV_NMPI,KH,Y0T17,PT,2020,42.3
