Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,"MOWA, MOP",A,N,SP_DYN_MRBF18,KH,F,Y20T24,PT,2018,1.9
2018,A,0,C,"MOWA, MOP",A,N,SP_DYN_MRBF18,KH,F,Y20T24,PT,2018,1.8
