Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040302_01,KH,Y15T24,PT,2020,0.03
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040302_01,KH,Y15T24,PT,2020,2.4
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040302_01,KH,Y15T24,PT,2020,4.7
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040302_01,KH,Y15T24,PT,2020,7.0
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040302_01,KH,Y15T24,PT,2020,9.4
2020,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040302_01,KH,Y15T24,PT,2020,11.7
