Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2000,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,3482
2001,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,5096
2002,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,6564
2003,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,7152
2004,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,7671
2005,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,8632
2006,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,9049
2007,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,11779
2008,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,20108
2009,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,291589
2010,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,193858
2011,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,1689389
2012,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,2706922
2013,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,3861979
2014,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,5025945
2015,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,6443976
2016,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,8099132
2017,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,10841728
2018,A,0,C,MPTC,A,N,IT_USE_II99,KH,NUMBER,2018,13611398
