Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
1993,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,59.82
1997,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,58.6
2002,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,61.15
2005,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,60.0
2006,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,59.09
2008,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,57.99
2009,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,57.6
2010,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,57.07
2014,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,49.48
2016,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,48.82
2018,A,0,C,"MAFF, Forestry Administration_Forestry Statistics",A,N,AG_LND_FRST,KH,PT,2018,48.16
