Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,LMs-Las,A,N,SI_HEI_TOTL,KH,B40,PT,2020,5.2
2020,A,0,C,LMs-Las,A,N,SI_HEI_TOTL,KH,B40,PT,2020,9.2
