Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS,Annual,National,"4.c.1 Proportion of teachers inpre-primary, primary,  lower secondary and upper secondary education who have received pre-service or in-service training",Cambodia,Percent,2018,99.0
2016,Normal value,Units,Country Data,MoEYS,Annual,National,"4.c.1 Proportion of teachers inpre-primary, primary,  lower secondary and upper secondary education who have received pre-service or in-service training",Cambodia,Percent,2018,98.7
2017,Normal value,Units,Country Data,MoEYS,Annual,National,"4.c.1 Proportion of teachers inpre-primary, primary,  lower secondary and upper secondary education who have received pre-service or in-service training",Cambodia,Percent,2018,98.4
2018,Normal value,Units,Country Data,MoEYS,Annual,National,"4.c.1 Proportion of teachers inpre-primary, primary,  lower secondary and upper secondary education who have received pre-service or in-service training",Cambodia,Percent,2018,99.3
