Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,MoE,Annual,National,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Cambodia,Percent,2020,10
2017,Normal value,Units,Country Data,MoE,Annual,National,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Cambodia,Percent,2020,12
2018,Normal value,Units,Country Data,MoE,Annual,National,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Cambodia,Percent,2020,15
2019,Normal value,Units,Country Data,MoE,Annual,National,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Cambodia,Percent,2020,17
2020,Normal value,Units,Country Data,MoE,Annual,National,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",Cambodia,Percent,2020,20
