Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Millions,Country Data,CRDB/CDC,Annual,National,10.b.1.  Total official development assistance for Cambodia,Cambodia,USD,2020,1425
2016,Normal value,Millions,Country Data,CRDB/CDC,Annual,National,10.b.1.  Total official development assistance for Cambodia,Cambodia,USD,2020,1425
2017,Normal value,Millions,Country Data,CRDB/CDC,Annual,National,10.b.1.  Total official development assistance for Cambodia,Cambodia,USD,2020,1425
2018,Normal value,Millions,Country Data,CRDB/CDC,Annual,National,10.b.1.  Total official development assistance for Cambodia,Cambodia,USD,2020,1425
2019,Normal value,Millions,Country Data,CRDB/CDC,Annual,National,10.b.1.  Total official development assistance for Cambodia,Cambodia,USD,2020,1425
2020,Normal value,Millions,Country Data,CRDB/CDC,Annual,National,10.b.1.  Total official development assistance for Cambodia,Cambodia,USD,2020,1425
