Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
1992,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,8488
1999,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,10050
2000,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,13258
2001,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,16726
2002,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,20935
2003,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,24136
2004,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,28201
2005,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,33390
2006,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,38926
2007,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,45463
2008,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,51600
2009,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,6136
2010,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,11950
2011,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,14150
2012,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,8293
2013,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,8920
2014,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,18213
2015,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,18531
2016,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,19087
2017,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,19659
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,20049
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,20857
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180101_01,KH,HA,2020,21482
