Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,"Member of CNCW, MOWA",A,N,VC_VAW_MARR,KH,F,Y_GE15,PT,2018,30.8
2018,A,0,C,"Member of CNCW, MOWA",A,N,VC_VAW_MARR,KH,F,Y_GE15,PT,2018,30.0
