Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2005,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,1769327
2006,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,2340235
2007,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,2979116
2008,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,2878513
2009,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,2524294
2010,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,3051601
2011,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,3480843
2012,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,3997331
2013,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,4606281
2014,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,5168687
2015,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,5606317
2016,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,6201338
2017,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,6877284
2018,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,7626908
2019,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,8458241
2020,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, international passengers carried",Cambodia,Number,2020,9380189
2005,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,158384
2006,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,159478
2007,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,187066
2008,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,182328
2009,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,143649
2010,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,136678
2011,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,144465
2012,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,172223
2013,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,214418
2014,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,298904
2015,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,436167
2016,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,423478
2017,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,432795
2018,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,442316
2019,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,452047
2020,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.2 Air transport, domestic passengers carried",Cambodia,Number,2020,461992
