Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,"EDC,MOME_Annual Report",Annual,National,7.2.1 Renewable energy consumption,Cambodia,Percent,2020,33.84
2016,Normal value,Units,Country Data,"EDC,MOME_Annual Report",Annual,National,7.2.1 Renewable energy consumption,Cambodia,Percent,2020,37.1
2017,Normal value,Units,Country Data,"EDC,MOME_Annual Report",Annual,National,7.2.1 Renewable energy consumption,Cambodia,Percent,2020,34.28
2018,Normal value,Units,Country Data,"EDC,MOME_Annual Report",Annual,National,7.2.1 Renewable energy consumption,Cambodia,Percent,2020,49.46
2019,Normal value,Units,Country Data,"EDC,MOME_Annual Report",Annual,National,7.2.1 Renewable energy consumption,Cambodia,Percent,2020,34.84
2020,Normal value,Units,Country Data,"EDC,MOME_Annual Report",Annual,National,7.2.1 Renewable energy consumption,Cambodia,Percent,2020,33.0
