Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoEYS,A,N,N_KH_040c03_01,KH,ISCED11_1,PT,2020,61.0
2016,A,0,C,MoEYS,A,N,N_KH_040c03_01,KH,ISCED11_1,PT,2020,70.2
2017,A,0,C,MoEYS,A,N,N_KH_040c03_01,KH,ISCED11_1,PT,2020,72.1
2018,A,0,C,MoEYS,A,N,N_KH_040c03_01,KH,ISCED11_1,PT,2020,73.0
2019,A,0,C,MoEYS,A,N,N_KH_040c03_01,KH,ISCED11_1,PT,2020,74.4
2020,A,0,C,MoEYS,A,N,N_KH_040c03_01,KH,ISCED11_1,PT,2020,75.8
