Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.2 Percentage ofchildren attended all aspects of ECE,Cambodia,Percent,2020,35.3
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.2 Percentage ofchildren attended all aspects of ECE,Cambodia,Percent,2020,37.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.2 Percentage ofchildren attended all aspects of ECE,Cambodia,Percent,2020,41.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.2 Percentage ofchildren attended all aspects of ECE,Cambodia,Percent,2020,41.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.2 Percentage ofchildren attended all aspects of ECE,Cambodia,Percent,2020,42.7
2020,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.2 Percentage ofchildren attended all aspects of ECE,Cambodia,Percent,2020,43.5
