Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Millions,Country Data,MME,Annual,National,7.1.2 Proportion of population with primary reliance on clean fuels and technology,Cambodia,Number,2018,6.16
2016,Normal value,Millions,Country Data,MME,Annual,National,7.1.2 Proportion of population with primary reliance on clean fuels and technology,Cambodia,Number,2018,5.59
2017,Normal value,Millions,Country Data,MME,Annual,National,7.1.2 Proportion of population with primary reliance on clean fuels and technology,Cambodia,Number,2018,5.22
2018,Normal value,Millions,Country Data,MME,Annual,National,7.1.2 Proportion of population with primary reliance on clean fuels and technology,Cambodia,Number,2018,7.65
