Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.2 Gross enrolment rate in technical-vocational education programmes (15- to 24-year-olds),Cambodia,15 to 24 years old,Percent,2020,0.03
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.2 Gross enrolment rate in technical-vocational education programmes (15- to 24-year-olds),Cambodia,15 to 24 years old,Percent,2020,2.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.2 Gross enrolment rate in technical-vocational education programmes (15- to 24-year-olds),Cambodia,15 to 24 years old,Percent,2020,4.7
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.2 Gross enrolment rate in technical-vocational education programmes (15- to 24-year-olds),Cambodia,15 to 24 years old,Percent,2020,7.0
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.2 Gross enrolment rate in technical-vocational education programmes (15- to 24-year-olds),Cambodia,15 to 24 years old,Percent,2020,9.4
2020,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.2 Gross enrolment rate in technical-vocational education programmes (15- to 24-year-olds),Cambodia,15 to 24 years old,Percent,2020,11.7
