Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
1979,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,4674
1980,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,1343
1981,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,1021
1982,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,1893
1983,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2761
1984,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2966
1985,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,3520
1986,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2902
1987,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,3533
1988,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2967
1989,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,3333
1990,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,3000
1991,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2427
1992,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2189
1993,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2535
1994,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,2809
1995,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.2.1 Number of civilian casualties from mines/ERW,Cambodia,Number,2020,3333
