Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoEYS,A,N,N_KH_040c02_01,KH,ISCED11_02,PT,2020,56.0
2016,A,0,C,MoEYS,A,N,N_KH_040c02_01,KH,ISCED11_02,PT,2020,62.1
2017,A,0,C,MoEYS,A,N,N_KH_040c02_01,KH,ISCED11_02,PT,2020,63.6
2018,A,0,C,MoEYS,A,N,N_KH_040c02_01,KH,ISCED11_02,PT,2020,64.0
2019,A,0,C,MoEYS,A,N,N_KH_040c02_01,KH,ISCED11_02,PT,2020,65.3
2020,A,0,C,MoEYS,A,N,N_KH_040c02_01,KH,ISCED11_02,PT,2020,66.7
