Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.1 Proportion of grade 1 student passed through all ECE programs,Cambodia,Percent,2020,62.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.1 Proportion of grade 1 student passed through all ECE programs,Cambodia,Percent,2020,63.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.1 Proportion of grade 1 student passed through all ECE programs,Cambodia,Percent,2020,64.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.1 Proportion of grade 1 student passed through all ECE programs,Cambodia,Percent,2020,65.0
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.1 Proportion of grade 1 student passed through all ECE programs,Cambodia,Percent,2020,65.5
2020,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.2.1 Proportion of grade 1 student passed through all ECE programs,Cambodia,Percent,2020,68.0
