Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,6,C,MOE MIH MoI PP Municipality,A,N,N_KH_110601_01,KH,T,2020,1.2
2016,A,6,C,MOE MIH MoI PP Municipality,A,N,N_KH_110601_01,KH,T,2020,1.25
2017,A,6,C,MOE MIH MoI PP Municipality,A,N,N_KH_110601_01,KH,T,2020,1.28
2018,A,6,C,MOE MIH MoI PP Municipality,A,N,N_KH_110601_01,KH,T,2020,1.3
2019,A,6,C,MOE MIH MoI PP Municipality,A,N,N_KH_110601_01,KH,T,2020,1.33
2020,A,6,C,MOE MIH MoI PP Municipality,A,N,N_KH_110601_01,KH,T,2020,1.35
