Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MOC,Annual,National,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,Cambodia,Number,2020,4
2016,Normal value,Units,Country Data,MOC,Annual,National,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,Cambodia,Number,2020,9
2017,Normal value,Units,Country Data,MOC,Annual,National,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,Cambodia,Number,2020,14
2018,Normal value,Units,Country Data,MOC,Annual,National,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,Cambodia,Number,2020,18
2019,Normal value,Units,Country Data,MOC,Annual,National,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,Cambodia,Number,2020,23
2020,Normal value,Units,Country Data,MOC,Annual,National,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,Cambodia,Number,2020,27
