Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Thousands,Country Data,MME,Annual,National,7.3.1 Proption of primary energy with GDP,Cambodia,Tons oil equivalent,2020,0.3
2016,Normal value,Thousands,Country Data,MME,Annual,National,7.3.1 Proption of primary energy with GDP,Cambodia,Tons oil equivalent,2020,0.32
2017,Normal value,Thousands,Country Data,MME,Annual,National,7.3.1 Proption of primary energy with GDP,Cambodia,Tons oil equivalent,2020,0.31
2018,Normal value,Thousands,Country Data,MME,Annual,National,7.3.1 Proption of primary energy with GDP,Cambodia,Tons oil equivalent,2020,0.3
2019,Normal value,Thousands,Country Data,MME,Annual,National,7.3.1 Proption of primary energy with GDP,Cambodia,Tons oil equivalent,2020,0.3
2020,Normal value,Thousands,Country Data,MME,Annual,National,7.3.1 Proption of primary energy with GDP,Cambodia,Tons oil equivalent,2020,0.29
