Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2018,A,0,C,National Committee for OVOP Promotion and other relevant ministries and institutions,A,N,N_KH_08020301_01,KH,NUMBER,2020,75
2019,A,0,C,National Committee for OVOP Promotion and other relevant ministries and institutions,A,N,N_KH_08020301_01,KH,NUMBER,2020,125
2020,A,0,C,National Committee for OVOP Promotion and other relevant ministries and institutions,A,N,N_KH_08020301_01,KH,NUMBER,2020,50
