Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,NCSD MoI,Annual,National,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,2020,47
2016,Normal value,Units,Country Data,NCSD MoI,Annual,National,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,2020,43
2019,Normal value,Units,Country Data,NCSD MoI,Annual,National,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,2020,39
2020,Normal value,Units,Country Data,NCSD MoI,Annual,National,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,Cambodia,Percent,2020,38
