Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2005,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,1769327
2006,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,2340235
2007,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,2979116
2008,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,2878513
2009,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,2524294
2010,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,3051601
2011,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,3480843
2012,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,3997331
2013,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,4606281
2014,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,5168687
2015,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,5606317
2016,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,6201338
2017,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,6877284
2018,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,7626908
2019,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,8458241
2020,A,0,C,SSCA,A,N,N_KH_090102_01,KH,NUMBER,2020,9380189
2005,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,158384
2006,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,159478
2007,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,187066
2008,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,182328
2009,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,143649
2010,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,136678
2011,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,144465
2012,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,172223
2013,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,214418
2014,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,298904
2015,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,436167
2016,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,423478
2017,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,432795
2018,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,442316
2019,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,452047
2020,A,0,C,SSCA,A,N,N_KH_090102_02,KH,NUMBER,2020,461992
