Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
1993,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_01,KH,F,PT,2018,5.0
1998,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_01,KH,F,PT,2018,3.93
2003,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_01,KH,F,PT,2018,7.5
2008,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_01,KH,F,PT,2018,15.1
2013,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_01,KH,F,PT,2018,17.58
2018,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_01,KH,F,PT,2018,16.87
1993,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_02,KH,F,PT,2018,0.0
1998,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_02,KH,F,PT,2018,6.0
2003,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_02,KH,F,PT,2018,6.6
2008,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_02,KH,F,PT,2018,8.0
2013,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_02,KH,F,PT,2018,20.54
2018,A,0,C,"MoWA_Planning Department, Annual report",A,N,N_KH_050502_02,KH,F,PT,2018,16.36
