Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2008,A,0,C,"MoWA_Planning Department, Annual report",A,N,SG_GEN_PARL,KH,F,PT,2018,18.37
2009,A,0,C,"MoWA_Planning Department, Annual report",A,N,SG_GEN_PARL,KH,F,PT,2018,18.37
2010,A,0,C,"MoWA_Planning Department, Annual report",A,N,SG_GEN_PARL,KH,F,PT,2018,17.05
2015,A,0,C,"MoWA_Planning Department, Annual report",A,N,SG_GEN_PARL,KH,F,PT,2018,17.8
2016,A,0,C,"MoWA_Planning Department, Annual report",A,N,SG_GEN_PARL,KH,F,PT,2018,17.8
2018,A,0,C,"MoWA_Planning Department, Annual report",A,N,SG_GEN_PARL,KH,F,PT,2018,25.0
