Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2020,2.0
2016,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2020,3.9
2017,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2020,5.9
2018,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2020,9.5
2019,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2020,11.2
2020,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.5Percentage of teachers who received in-service training,Cambodia,Percent,2020,12.9
