Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,MAFF/MOE,Annual,National,"2.5.1 Number of plant genetic resources for food and agriculture secured​ in policy, strategy and either medium or long-term conservation facilities",Cambodia,Number,2020,95
2017,Normal value,Units,Country Data,MAFF/MOE,Annual,National,"2.5.1 Number of plant genetic resources for food and agriculture secured​ in policy, strategy and either medium or long-term conservation facilities",Cambodia,Number,2020,96
2018,Normal value,Units,Country Data,MAFF/MOE,Annual,National,"2.5.1 Number of plant genetic resources for food and agriculture secured​ in policy, strategy and either medium or long-term conservation facilities",Cambodia,Number,2020,98
2019,Normal value,Units,Country Data,MAFF/MOE,Annual,National,"2.5.1 Number of plant genetic resources for food and agriculture secured​ in policy, strategy and either medium or long-term conservation facilities",Cambodia,Number,2020,102
2020,Normal value,Units,Country Data,MAFF/MOE,Annual,National,"2.5.1 Number of plant genetic resources for food and agriculture secured​ in policy, strategy and either medium or long-term conservation facilities",Cambodia,Number,2020,105
