Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MPWT,Annual,National,9.1.1 Freight volumes of ports and railway,Cambodia,Metric Tons,2020,6250000
2016,Normal value,Units,Country Data,MPWT,Annual,National,9.1.1 Freight volumes of ports and railway,Cambodia,Metric Tons,2020,6890000
2017,Normal value,Units,Country Data,MPWT,Annual,National,9.1.1 Freight volumes of ports and railway,Cambodia,Metric Tons,2020,7654000
2018,Normal value,Units,Country Data,MPWT,Annual,National,9.1.1 Freight volumes of ports and railway,Cambodia,Metric Tons,2020,7944000
2019,Normal value,Units,Country Data,MPWT,Annual,National,9.1.1 Freight volumes of ports and railway,Cambodia,Metric Tons,2020,8461000
2020,Normal value,Units,Country Data,MPWT,Annual,National,9.1.1 Freight volumes of ports and railway,Cambodia,Metric Tons,2020,12428000
