Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,2019-2020,31.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,2019-2020,31.9
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,Male,,Percent,2019-2020,31.6
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,46.9
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,50.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,35.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,32.1
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,30.5
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,31.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,30.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,34.2
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,34.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,36.4
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Banteay Meanchey,,,Percent,2019-2020,36.3
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,46.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,41.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,38.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,35.6
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,34.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,35.4
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,34.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,36.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,38.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,40.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Female,,Percent,2019-2020,41.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,44.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,43.0
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,33.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,30.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,28.3
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,28.3
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,27.4
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,28.5
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,30.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,32.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,Male,,Percent,2019-2020,30.8
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,45.2
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,42.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,36.1
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,32.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,31.5
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,31.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,30.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,32.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,34.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,36.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Battambang,,,Percent,2019-2020,35.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,40.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,34.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,38.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,37.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,39.8
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,47.0
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,45.5
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,51.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,54.3
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,57.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Female,,Percent,2019-2020,56.1
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,40.2
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,38.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,36.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,35.1
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,36.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,40.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,38.5
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,40.5
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,41.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,42.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,Male,,Percent,2019-2020,40.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,40.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,36.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,37.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,36.5
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,37.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,43.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,41.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,45.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,47.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,49.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Cham,,,Percent,2019-2020,47.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,51.3
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,52.8
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,41.3
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,40.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,41.6
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,45.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,47.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,53.7
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,57.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,57.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Female,,Percent,2019-2020,54.5
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,51.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,49.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,40.1
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,36.6
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,36.0
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,37.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,40.1
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,41.1
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,44.4
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,41.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,Male,,Percent,2019-2020,41.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,51.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,51.0
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,40.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,38.6
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,38.8
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,41.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,43.8
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,47.2
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,50.7
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,48.9
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Chhnang,,,Percent,2019-2020,47.5
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,38.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,34.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,30.5
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,30.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,32.7
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,35.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,37.5
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,44.6
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,49.7
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,47.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Female,,Percent,2019-2020,46.1
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,46.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,47.1
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,40.3
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,36.4
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,37.0
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,39.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,37.8
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,39.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,42.9
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,40.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,Male,,Percent,2019-2020,37.5
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,42.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,40.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,35.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,33.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,34.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,37.5
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,37.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,41.9
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,46.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,43.7
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Speu,,,Percent,2019-2020,41.6
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,43.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,39.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,39.1
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,36.2
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,39.0
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,38.9
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,38.1
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,45.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,48.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,52.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Female,,Percent,2019-2020,50.7
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,40.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,45.3
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,35.8
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,33.6
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,31.8
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,31.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,30.5
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Kampong Thom,Male,,Percent,2019-2020,34.7
