Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoH,Annual,National,3.a.2 Prevalence of tobacco use among youth aged 13-15,Cambodia,13 to 15 years old,Percent,2020,6.3
2020,Normal value,Units,Country Data,MoH,Annual,National,3.a.2 Prevalence of tobacco use among youth aged 13-15,Cambodia,13 to 15 years old,Percent,2020,5.0
