Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
1992,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,8488
1999,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,10050
2000,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,13258
2001,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,16726
2002,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,20935
2003,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,24136
2004,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,28201
2005,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,33390
2006,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,38926
2007,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,45463
2008,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,51600
2009,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,6136
2010,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,11950
2011,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,14150
2012,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,8293
2013,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,8920
2014,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,18213
2015,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,18531
2016,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,19087
2017,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,19659
2018,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,20049
2019,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,20857
2020,Normal value,Units,Country Data,CMAA_Cambodia Mine Action Authority/DBU,Annual,National,18.1.1 Total cumulated areas cleared of mines/ERW,Cambodia,Hectares,2020,21482
