Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,CRDB/CDC,Annual,National,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,Cambodia,Percent,2020,1.65
2017,Normal value,Units,Country Data,CRDB/CDC,Annual,National,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,Cambodia,Percent,2020,1.54
2018,Normal value,Units,Country Data,CRDB/CDC,Annual,National,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,Cambodia,Percent,2020,1.44
2019,Normal value,Units,Country Data,CRDB/CDC,Annual,National,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,Cambodia,Percent,2020,1.34
2020,Normal value,Units,Country Data,CRDB/CDC,Annual,National,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,Cambodia,Percent,2020,1.25
