Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Education level,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.2 Percentage of pre school teachers qualified according to national standards,Cambodia,Pre-primary education,Percent,2020,56.0
2016,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.2 Percentage of pre school teachers qualified according to national standards,Cambodia,Pre-primary education,Percent,2020,62.1
2017,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.2 Percentage of pre school teachers qualified according to national standards,Cambodia,Pre-primary education,Percent,2020,63.6
2018,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.2 Percentage of pre school teachers qualified according to national standards,Cambodia,Pre-primary education,Percent,2020,64.0
2019,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.2 Percentage of pre school teachers qualified according to national standards,Cambodia,Pre-primary education,Percent,2020,65.3
2020,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.2 Percentage of pre school teachers qualified according to national standards,Cambodia,Pre-primary education,Percent,2020,66.7
