Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2005,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,16908.0
2006,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,22676.0
2007,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,26033.0
2008,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,21985.0
2009,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,15119.0
2010,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,17678.0
2011,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,20083.0
2012,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,27811.0
2013,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,31612.0
2014,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,32666.0
2015,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,36898.0
2016,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,46308.0
2017,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,53856.0
2018,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,62635.0
2019,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,72844.0
2020,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, international freight",Cambodia,Metric Tons,2020,84718.0
2005,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,65.0
2006,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,91.0
2007,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,398.0
2008,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,124.0
2009,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,75.0
2010,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,0.21
2011,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,124.0
2012,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,5.0
2013,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,62.0
2014,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,183.0
2015,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,252.0
2016,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,153.0
2017,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,132.0
2018,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,114.0
2019,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,99.0
2020,Normal value,Units,Country Data,SSCA,Annual,National,"9.1.3 Air transport, domestic freight",Cambodia,Metric Tons,2020,86.0
