Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Education level,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.3 Percentage of primary teachers qualified according to national standards,Cambodia,Primary education,Percent,2020,61.0
2016,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.3 Percentage of primary teachers qualified according to national standards,Cambodia,Primary education,Percent,2020,70.2
2017,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.3 Percentage of primary teachers qualified according to national standards,Cambodia,Primary education,Percent,2020,72.1
2018,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.3 Percentage of primary teachers qualified according to national standards,Cambodia,Primary education,Percent,2020,73.0
2019,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.3 Percentage of primary teachers qualified according to national standards,Cambodia,Primary education,Percent,2020,74.4
2020,Normal value,Units,Country Data,MoEYS,Annual,National,4.c.3 Percentage of primary teachers qualified according to national standards,Cambodia,Primary education,Percent,2020,75.8
