Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
1994,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,-34.8
1995,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,9.9
1996,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,5.9
1997,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,4.0
1998,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,4.7
1999,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,12.7
2000,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,10.7
2001,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.4
2002,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,6.6
2003,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,8.5
2004,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,10.3
2005,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,13.3
2006,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,10.8
2007,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,10.2
2008,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,6.7
2009,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,0.1
2010,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,6.0
2011,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.1
2012,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.3
2013,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.4
2014,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.1
2015,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.0
2016,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.0
2017,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.0
2018,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.5
2019,Normal value,Units,Country Data,"MoP, NIS_National Accounts, Bulletin",Annual,National,8.1.1 Annual GDP growth rate at constant prices,Cambodia,Percent,2019,7.1
