Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,MAFF,Annual,National,2.4.1 Sustainable Agricultural Land Productivity,Cambodia,USD per Hectare,2020,1548
2017,Normal value,Units,Country Data,MAFF,Annual,National,2.4.1 Sustainable Agricultural Land Productivity,Cambodia,USD per Hectare,2020,1608
2018,Normal value,Units,Country Data,MAFF,Annual,National,2.4.1 Sustainable Agricultural Land Productivity,Cambodia,USD per Hectare,2020,1671
2019,Normal value,Units,Country Data,MAFF,Annual,National,2.4.1 Sustainable Agricultural Land Productivity,Cambodia,USD per Hectare,2020,1736
2020,Normal value,Units,Country Data,MAFF,Annual,National,2.4.1 Sustainable Agricultural Land Productivity,Cambodia,USD per Hectare,2020,1804
