Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2018,Normal value,Units,Country Data,National Committee for OVOP Promotion and other relevant ministries and institutions,Annual,National,8.2.3.1 All kinds of products both goods and services that have been processed or developed and have been included in OVOP Movement,Cambodia,Number,2020,75
2019,Normal value,Units,Country Data,National Committee for OVOP Promotion and other relevant ministries and institutions,Annual,National,8.2.3.1 All kinds of products both goods and services that have been processed or developed and have been included in OVOP Movement,Cambodia,Number,2020,125
2020,Normal value,Units,Country Data,National Committee for OVOP Promotion and other relevant ministries and institutions,Annual,National,8.2.3.1 All kinds of products both goods and services that have been processed or developed and have been included in OVOP Movement,Cambodia,Number,2020,50
