Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,"Member of CNCW, MOWA",Annual,National,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",Cambodia,Female,15 years old and over,Percent,2018,30.8
2018,Normal value,Units,Country Data,"Member of CNCW, MOWA",Annual,National,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",Cambodia,Female,15 years old and over,Percent,2018,30.0
