Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoP,Annual,National,17.18.2 Proportion of budget expenditure for implementation the National Strategy for the Development of Statistic (NSDS),Cambodia,Percent,2020,0.2
2020,Normal value,Units,Country Data,MoP,Annual,National,17.18.2 Proportion of budget expenditure for implementation the National Strategy for the Development of Statistic (NSDS),Cambodia,Percent,2020,0.7
