Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,"Member of CNCW, MOWA",Annual,National,"5.1.1 Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",Cambodia,Number,2018,50
2018,Normal value,Units,Country Data,"Member of CNCW, MOWA",Annual,National,"5.1.1 Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",Cambodia,Number,2018,55
