Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,CRDB/CDC,Annual,National,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),Cambodia,Percent,2020,0.71
2017,Normal value,Units,Country Data,CRDB/CDC,Annual,National,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),Cambodia,Percent,2020,0.66
2018,Normal value,Units,Country Data,CRDB/CDC,Annual,National,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),Cambodia,Percent,2020,0.62
2019,Normal value,Units,Country Data,CRDB/CDC,Annual,National,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),Cambodia,Percent,2020,0.58
2020,Normal value,Units,Country Data,CRDB/CDC,Annual,National,2.a.1 Total Official flows (official development assistance + other official flows) to agriculture sector (as % of GDP),Cambodia,Percent,2020,0.54
