Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,LMs-Las,Annual,National,10.2.1 Proportion of people living below 50 per cent of median income,Cambodia,Bottom 50%,Percent,2020,53.1
2016,Normal value,Units,Country Data,LMs-Las,Annual,National,10.2.1 Proportion of people living below 50 per cent of median income,Cambodia,Bottom 50%,Percent,2020,51.5
2020,Normal value,Units,Country Data,LMs-Las,Annual,National,10.2.1 Proportion of people living below 50 per cent of median income,Cambodia,Bottom 50%,Percent,2020,45.4
