Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2004,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,45.7
2005,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,42.2
2006,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,89.8
2007,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,88.0
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,85.7
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,83.6
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,85.0
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,89.9
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,87.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,90.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,86.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,84.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,83.2
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,82.7
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,86.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,,Percent,2019-2020,87.6
2004,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,56.4
2005,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,54.2
2006,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,94.9
2007,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,91.5
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,88.3
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,84.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,88.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,78.8
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,79.2
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,78.6
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,76.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,75.2
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,74.0
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,72.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,77.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Urban,Percent,2019-2020,77.2
2004,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,44.5
2005,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,41.1
2006,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,90.5
2007,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,88.8
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,87.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,83.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,84.4
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,92.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,90.2
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,92.8
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,88.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,86.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,85.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,85.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,88.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Rural,Percent,2019-2020,90.1
2004,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Remote Area,Percent,2008-2009,25.3
2005,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Remote Area,Percent,2008-2009,22.8
2006,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Remote Area,Percent,2008-2009,52.2
2007,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Remote Area,Percent,2008-2009,56.2
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Female,Remote Area,Percent,2008-2009,60.4
2005,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,43.5
2006,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,90.4
2007,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,84.7
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,85.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,82.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,85.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,89.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,86.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,87.8
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,81.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,77.5
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,76.7
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,75.7
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,78.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,,Percent,2019-2020,79.4
2005,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,54.5
2006,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,103.1
2007,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,91.6
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,93.7
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,84.3
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,93.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,77.2
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,79.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,75.3
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,71.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,70.2
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,68.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.1 Completion rate Grade 6,Cambodia,Male,Urban,Percent,2019-2020,66.3
