Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Time period details,Value
2014,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.2 Proportion of children living in poverty measured by multiple dimensions according to national definitions,Cambodia,under 18 years old,Percent,2020,50.7
2020,Normal value,Units,Country Data,MoP_Cambodia Socio Economic Survey,Annual,National,1.2.2 Proportion of children living in poverty measured by multiple dimensions according to national definitions,Cambodia,under 18 years old,Percent,2020,42.3
