Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MPTC,Annual,National,"9.c.1 Proportion of population covered by a mobile network, by technology",Cambodia,Percent,2020,44.11
2016,Normal value,Units,Country Data,MPTC,Annual,National,"9.c.1 Proportion of population covered by a mobile network, by technology",Cambodia,Percent,2020,51.83
2017,Normal value,Units,Country Data,MPTC,Annual,National,"9.c.1 Proportion of population covered by a mobile network, by technology",Cambodia,Percent,2020,68.4
2018,Normal value,Units,Country Data,MPTC,Annual,National,"9.c.1 Proportion of population covered by a mobile network, by technology",Cambodia,Percent,2020,84.7
2019,Normal value,Units,Country Data,MPTC,Annual,National,"9.c.1 Proportion of population covered by a mobile network, by technology",Cambodia,Percent,2020,100.38
2020,Normal value,Units,Country Data,MPTC,Annual,National,"9.c.1 Proportion of population covered by a mobile network, by technology",Cambodia,Percent,2020,93.93
