Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MOT,Annual,National,8.9.2  Number of employees in tourism industries as a proportion of total employees in all sectors,Cambodia,Percent,2020,7.0
2016,Normal value,Units,Country Data,MOT,Annual,National,8.9.2  Number of employees in tourism industries as a proportion of total employees in all sectors,Cambodia,Percent,2020,7.0
2017,Normal value,Units,Country Data,MOT,Annual,National,8.9.2  Number of employees in tourism industries as a proportion of total employees in all sectors,Cambodia,Percent,2020,7.0
2018,Normal value,Units,Country Data,MOT,Annual,National,8.9.2  Number of employees in tourism industries as a proportion of total employees in all sectors,Cambodia,Percent,2020,7.0
2019,Normal value,Units,Country Data,MOT,Annual,National,8.9.2  Number of employees in tourism industries as a proportion of total employees in all sectors,Cambodia,Percent,2020,7.0
2020,Normal value,Units,Country Data,MOT,Annual,National,8.9.2  Number of employees in tourism industries as a proportion of total employees in all sectors,Cambodia,Percent,2020,7.5
