Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,LMs-Las,A,N,SI_POV_50MI,KH,B50,PT,2020,53.1
2016,A,0,C,LMs-Las,A,N,SI_POV_50MI,KH,B50,PT,2020,51.5
2020,A,0,C,LMs-Las,A,N,SI_POV_50MI,KH,B50,PT,2020,45.4
