Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoC,Annual,National,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,2020,6
2016,Normal value,Units,Country Data,MoC,Annual,National,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,2020,6
2017,Normal value,Units,Country Data,MoC,Annual,National,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,2020,7
2018,Normal value,Units,Country Data,MoC,Annual,National,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,2020,7
2019,Normal value,Units,Country Data,MoC,Annual,National,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,2020,7
2020,Normal value,Units,Country Data,MoC,Annual,National,10.a.1 Number of Trade Related Agreement with other countries,Cambodia,Number,2020,10
