Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
1993,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,59.82
1997,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,58.6
2002,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,61.15
2005,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,60.0
2006,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,59.09
2008,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,57.99
2009,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,57.6
2010,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,57.07
2014,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,49.48
2016,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,48.82
2018,Normal value,Units,Country Data,"MAFF, Forestry Administration_Forestry Statistics",Annual,National,15.1.1 Proportion of land areas covered by forest,Cambodia,Percent,2018,48.16
