Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,"MoEYS, MRD",Annual,National,4.a.1 Proportion of schools with access to basic drinking water,Cambodia,Percent,2020,27.0
2016,Normal value,Units,Country Data,"MoEYS, MRD",Annual,National,4.a.1 Proportion of schools with access to basic drinking water,Cambodia,Percent,2020,47.9
2017,Normal value,Units,Country Data,"MoEYS, MRD",Annual,National,4.a.1 Proportion of schools with access to basic drinking water,Cambodia,Percent,2020,48.2
2018,Normal value,Units,Country Data,"MoEYS, MRD",Annual,National,4.a.1 Proportion of schools with access to basic drinking water,Cambodia,Percent,2020,46.7
2019,Normal value,Units,Country Data,"MoEYS, MRD",Annual,National,4.a.1 Proportion of schools with access to basic drinking water,Cambodia,Percent,2020,51.1
2020,Normal value,Units,Country Data,"MoEYS, MRD",Annual,National,4.a.1 Proportion of schools with access to basic drinking water,Cambodia,Percent,2020,55.6
