Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,CRDB/CDC,Annual,National,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),Cambodia,Percent,2020,0.01
2016,Normal value,Units,Country Data,CRDB/CDC,Annual,National,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),Cambodia,Percent,2020,0.01
2017,Normal value,Units,Country Data,CRDB/CDC,Annual,National,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),Cambodia,Percent,2020,0.01
2018,Normal value,Units,Country Data,CRDB/CDC,Annual,National,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),Cambodia,Percent,2020,0.01
2019,Normal value,Units,Country Data,CRDB/CDC,Annual,National,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),Cambodia,Percent,2020,0.01
2020,Normal value,Units,Country Data,CRDB/CDC,Annual,National,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),Cambodia,Percent,2020,0.01
