Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoH,A,N,N_KH_030a02_01,KH,Y13T15,PT,2020,6.3
2020,A,0,C,MoH,A,N,N_KH_030a02_01,KH,Y13T15,PT,2020,5.0
